groupByObject,timestamp,value
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2007-10-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2007-11-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2007-12-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-01-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-02-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-03-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-04-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-05-08T00:00:00Z,0
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-06-08T00:00:00Z,1
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-07-08T00:00:00Z,1
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-08-08T00:00:00Z,4
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-09-08T00:00:00Z,11
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-10-08T00:00:00Z,15
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-11-08T00:00:00Z,16
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2008-12-08T00:00:00Z,33
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-01-08T00:00:00Z,33
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-02-08T00:00:00Z,41
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-03-08T00:00:00Z,39
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-04-08T00:00:00Z,45
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-05-08T00:00:00Z,47
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-06-08T00:00:00Z,66
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-07-08T00:00:00Z,68
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-08-08T00:00:00Z,80
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-09-08T00:00:00Z,80
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-10-08T00:00:00Z,82
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-11-08T00:00:00Z,85
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2009-12-08T00:00:00Z,87
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-01-08T00:00:00Z,93
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-02-08T00:00:00Z,97
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-03-08T00:00:00Z,98
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-04-08T00:00:00Z,109
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-05-08T00:00:00Z,110
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-06-08T00:00:00Z,156
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-07-08T00:00:00Z,168
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-08-08T00:00:00Z,188
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-09-08T00:00:00Z,191
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-10-08T00:00:00Z,196
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-11-08T00:00:00Z,217
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2010-12-08T00:00:00Z,218
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-01-08T00:00:00Z,223
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-02-08T00:00:00Z,247
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-03-08T00:00:00Z,255
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-04-08T00:00:00Z,277
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-05-08T00:00:00Z,281
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-06-08T00:00:00Z,288
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-07-08T00:00:00Z,299
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-08-08T00:00:00Z,333
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-09-08T00:00:00Z,486
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-10-08T00:00:00Z,490
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-11-08T00:00:00Z,498
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2011-12-08T00:00:00Z,503
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2012-01-08T00:00:00Z,519
admin_world.fid-4b0b66f5_16c0e0c4df6_-2e8-_-Berlin,2012-02-08T00:00:00Z,527
